App: Demo App
Date range: 12/06/14 to 01/04/15
Platform: All Platforms

Date,Daily Active Users,Monthly Active Users,New Users
12/06/14,2568,5752,1087
12/07/14,2631,5792,1028
12/08/14,2534,6103,1077
12/09/14,2528,6056.333333999999,1053
12/10/14,2703,5413.333333999999,993
12/11/14,2870,5565.666666000001,974
12/12/14,2849,5569.333333999999,1017
12/13/14,2932,5634.666666000001,1054
12/14/14,2890,5695,1100
12/15/14,2937,5378.333333999999,1147
12/16/14,2916,5596.666666000001,1214
12/17/14,3005,5599.333333999999,1248
12/18/14,3000,5625.666666000001,1244
12/19/14,3011,6077.666666000001,1288
12/20/14,3178,6059.333333999999,1338
12/21/14,3316,6108,1374
12/22/14,3049,6138.666666000001,1371
12/23/14,3142,6185.333333999999,1503
12/24/14,3145,6391.333333999999,1553
12/25/14,3163,6451,1576
12/26/14,3277,6448,1622
12/27/14,3345,6473.666666000001,1659
12/28/14,3423,6535,1712
12/29/14,3474,6587.333333999999,1735
12/30/14,3489,6580.333333999999,1688
12/31/14,2348,5003.6666663,1092
01/01/15,2434,5059.6666663,1101
01/02/15,2445,5422.333333999999,1152
01/03/15,2585,5427.333333999999,1174
01/04/15,2612,5426.666666000001,1217
